doi,title,year,byproduct,tags,categories
10.5433/1679-0359.2019v40n4p1653,Replacing oat hay with coffee husk in the feed of finishing lambs,2019,husk,feed,bioactive compounds
10.1007/s40093-019-0256-8,Composting and co-composting of coffee husk and pulp with source-separated municipal solid waste: a breakthrough in valorization of coffee waste,2019,husk,composting,environmental applications
10.1016/j.biombioe.2011.12.017,Comparison of kiln-derived and gasifier-derived biochars as soil amendments in the humid tropics,2012,husk,"bio-oil, bioadsorbents, biochar","biofuels from thermochemical processes, environmental applications"
10.1007/s10529-009-0023-4,Feasibility of ethanol production from coffee husks,2009,husk,bioethanol,microbial transformation
10.1080/00103624.2016.1146741,Physico-Chemical Evaluation of Organic Wastes Compost-Based Substrates for Eucalyptus Seedlings Growth,2016,husk,composting,environmental applications
10.1016/B978-0-12-409517-5.00033-4,Production of Selenium-Enriched Mushrooms in Coffee Husks and Use of This Colonized Residue,2015,husk,"edible mushrooms, food","microbial transformation, bioactive compounds"
10.1007/s11947-010-0331-7,Production and Application of Xylanase from Penicillium sp Utilizing Coffee By-products,2012,"husk, pulp",enzymes,microbial transformation
10.5829/idosi.wasj.2012.20.06.6689,Bioconversion of coffee husk cellulose and statistical optimization of process for production of exoglucanase by rhizopus stolonifer,2012,husk,enzymes,microbial transformation
10.1007/s00449-012-0865-3,"Production, statistical optimization and application of endoglucanase from Rhizopus stolonifer utilizing coffee husk",2013,husk,enzymes,microbial transformation
10.1016/j.jhazmat.2007.11.093,Evaluation of untreated coffee husks as potential biosorbents for treatment of dye contaminated waters,2008,husk,bioadsorbents,environmental applications
NA,Residual biomass gasification on a small scale and its thermal utilization for coffee drying,2018,"husk, pulp","biochar, solid fuels, syngas","environmental applications, biofuels from thermochemical processes"
NA,Isolation and identification of lactic acid bacteria from mature coffee cheries: Potential application in coffee husk ensiling,2003,"husk, pulp","ensiling, organic acids","environmental applications, microbial transformation"
10.5433/1679-0359.2015v36n2p777,The effect of fungal fermentation in phenolics content in robusta coffee husk [Efeito da fermenta{\c{c}}{\~{a}}o f{\'{u}}ngica no teor de compostos fen{\'{o}}licos em casca de caf{\'{e}} robusta],2015,husk,organic acids,microbial transformation
10.1016/S0960-1481(00)00106-3,Combustion of coffee husks,2001,husk,solid fuels,biofuels from thermochemical processes
10.1007/s40093-014-0078-7,Coffee processing residues as a soil potassium amendment,2014,husk,fertilizers,environmental applications
10.3390/w12092500,Using coffee pulp as bioadsorbent for the removal of manganese (Mn (II)) from synthetic wastewater,2020,pulp,bioadsorbents,environmental applications
10.24275/rmiq/Bio1612,Wet processing coffee waste as an alternative to produce extracts with antifungal activity: In vitro and in vivo valorization,2020,pulp,preservatives,bioactive compounds
10.1016/0734-9750(93)90012-C,New approach for selecting pectinase producing mutants of Aspergillus niger well adapted to solid state fermentation,1993,pulp,enzymes,microbial transformation
10.1016/j.carres.2006.04.020,Feruloyl esterases as a tool for the release of phenolic compounds from agro-industrial by-products,2006,pulp,enzymes,microbial transformation
10.3923/ijar.2011.255.267,Exploring the suitability of coffee pulp compost as growth media substitute in greenhouse production,2011,pulp,composting,environmental applications
10.1016/j.biortech.2014.05.031,Utilization of coffee by-products obtained from semi-washed process for production of value-added compounds,2014,pulp,bioethanol,microbial transformation
10.1016/0141-4607(84)90081-7,Biogas production from coffee pulp juice: One- and two-phase systems,1984,pulp,biogas,microbial transformation
10.1016/j.foodchem.2020.126600,Alcoholic fermentation as a potential tool for coffee pulp detoxification and reuse: Analysis of phenolic composition and caffeine content by HPLC-DAD-MS/MS,2020,pulp,organic acids,microbial transformation
10.17306/J.AFS.2019.0663,"ANTIOXIDANT CAPACITY, BIOACTIVE COMPOUNDS IN COFFEE PULP AND IMPLEMENTATION IN THE PRODUCTION OF INFUSIONS",2019,pulp,"beverages, feed, food",bioactive compounds
10.1016/0377-8401(88)90081-8,The nutritional value of dried coffee pulp (DCP) in broiler chickens' diets,1988,pulp,feed,bioactive compounds
