label,doi,mendeley_tags,title,year,byproduct
ISI.000300282900026,10.1007/s11947-010-0331-7,"Enzymes,Microbial transformation",Production and Application of Xylanase from Penicillium sp Utilizing Coffee By-products,2012,Husk
Orosco2018,NA,"Biochar,Gasification,Syngas",Residual biomass gasification on a small scale and its thermal utilization for coffee drying,2018,Husk
ISI.000189437500029,NA,"Ensiling,Environmental applications,Microbial transformation,Organic acids",Isolation and identification of lactic acid bacteria from mature coffee cheries: Potential application in coffee husk ensiling,2003,Husk
Zoca2014155,10.1007/s40093-014-0078-7,"Environmental applications,Fertilizers",Coffee processing residues as a soil potassium amendment,2014,Husk
ISI.000299120100010,10.1007/s00253-011-3737-x,"Caffeine,Microbial transformation","Physiology, biochemistry and possible applications of microbial caffeine degradation",2012,Husk
Kasuya2015301,10.1016/B978-0-12-409517-5.00033-4,"Edible mushrooms,Food,Microbial transformation",Production of Selenium-Enriched Mushrooms in Coffee Husks and Use of This Colonized Residue,2015,Husk
ISI.000470702200024,10.5433/1679-0359.2019v40n4p1653,"Bioactive compounds,Feed",Replacing oat hay with coffee husk in the feed of finishing lambs,2019,Husk
ISI.000322240100013,10.1007/s00449-012-0865-3,"Enzymes,Microbial transformation","Production, statistical optimization and application of endoglucanase from Rhizopus stolonifer utilizing coffee husk",2013,Husk
Navya2012781,10.5829/idosi.wasj.2012.20.06.6689,"Enzymes,Microbial transformation",Bioconversion of coffee husk cellulose and statistical optimization of process for production of exoglucanase by rhizopus stolonifer,2012,Husk
PalominoGarca2015777,10.5433/1679-0359.2015v36n2p777,"Bioactive compounds,Microbial transformation,Organic acids,Phenolic compounds",The effect of fungal fermentation in phenolics content in robusta coffee husk [Efeito da fermenta{\c{c}}{\~{a}}o f{\'{u}}ngica no teor de compostos fen{\'{o}}licos em casca de caf{\'{e}} robusta],2015,Husk
ISI.000372909300005,10.1080/00103624.2016.1146741,"Composting,Environmental applications",Physico-Chemical Evaluation of Organic Wastes Compost-Based Substrates for Eucalyptus Seedlings Growth,2016,Husk
ISI.000553577300005,10.1007/s40093-019-0256-8,"Composting,Environmental applications",Composting and co-composting of coffee husk and pulp with source-separated municipal solid waste: a breakthrough in valorization of coffee waste,2019,Husk
ISI.000300921200020,10.1016/j.biombioe.2011.12.017,"Bio-oil,Bioadsorbents,Biochar,Environmental applications,Gasification,Pyrolysis",Comparison of kiln-derived and gasifier-derived biochars as soil amendments in the humid tropics,2012,Husk
ISI.000300282900026,10.1007/s11947-010-0331-7,"Enzymes,Microbial transformation",Production and Application of Xylanase from Penicillium sp Utilizing Coffee By-products,2012,Pulp
Orosco2018,NA,"Biochar,Gasification,Syngas",Residual biomass gasification on a small scale and its thermal utilization for coffee drying,2018,Pulp
ISI.000189437500029,NA,"Ensiling,Environmental applications,Microbial transformation,Organic acids",Isolation and identification of lactic acid bacteria from mature coffee cheries: Potential application in coffee husk ensiling,2003,Pulp
Aguilar2020,10.3390/w12092500,"Bioadsorbents,Environmental applications",Using coffee pulp as bioadsorbent for the removal of manganese (Mn (II)) from synthetic wastewater,2020,Pulp
Moreau2003223,10.1590/S1516-89132003000200014,"Ensiling,Environmental applications,Feed","Dietary utilisation of protein and energy from fresh and ensiled coffee pulp by the Nile tilapia, Oreochromis niloticus",2003,Pulp
ISI.000530593600001,10.1007/s13197-020-04485-4,"Beverages,Food and feed,Microbial transformation",Production and characterization of a new distillate obtained from fermentation of wet processing coffee by-products,2020,Pulp
