"paper","CITE","type","position"
"MUSSATTO SI, 2011,","MUSSATTO SI, 2011, SEP PURIF TECHNOL, V83, P173, DOI 10.1016/J.SEPPUR.2011.09.036","indegree",1
"MURTHY PS, 2012,","MURTHY P;NAIDU M, 2012, PRODUCTION AND APPLICATION OF XYLANASE FROM PENICILLIUM SP UTILIZING COFFEE BYPRODUCTS, FOOD AND BIOPROCESS TECHNOLOGY","indegree",2
"KONDAMUDI N, 2008,","KONDAMUDI N, 2008, J AGR FOOD CHEM, V56, P11757, DOI 10.1021/JF802487S","indegree",3
"PANDEY A, 2000,","PANDEY A;SOCCOL C, 2000, ECONOMIC UTILIZATION OF CROP RESIDUES FOR VALUE ADDITION A FUTURISTIC APPROACH, JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH","indegree",4
"BALLESTEROS LF, 2014,","BALLESTEROS LF, 2014, FOOD BIOPROCESS TECH, V7, P3493, DOI 10.1007/S11947-014-1349-Z","indegree",5
"CAMPOS-VEGA R, 2015,","CAMPOS-VEGA R;LOARCA-PIA G;VERGARA-CASTAEDA H;DAVE O B, 2015, SPENT COFFEE GROUNDS A REVIEW ON CURRENT RESEARCH AND FUTURE PROSPECTS, TRENDS IN FOOD SCIENCE AND TECHNOLOGY","indegree",6
"ESQUIVEL P, 2012,","ESQUIVEL P, 2012, FOOD RES INT, V46, P488, DOI 10.1016/J.FOODRES.2011.05.028","indegree",7
"ZUORRO A, 2012,","ZUORRO A, 2012, J CLEAN PROD, V34, P49, DOI 10.1016/J.JCLEPRO.2011.12.003","indegree",8
"AL-HAMAMRE Z, 2012,","AL-HAMAMRE Z, 2012, FUEL, V96, P70, DOI 10.1016/J.FUEL.2012.01.023","indegree",9
"KWON EE, 2013,","KWON EE, 2013, BIORESOURCE TECHNOL, V136, P475, DOI 10.1016/J.BIORTECH.2013.03.052","indegree",10
"OBRUCA S, 2014,","OBRUCA S;PETRIK S;BENESOVA P;SVOBODA Z;EREMKA L;MAROVA I, 2014, UTILIZATION OF OIL EXTRACTED FROM SPENT COFFEE GROUNDS FOR SUSTAINABLE PRODUCTION OF POLYHYDROXYALKANOATES, APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","indegree",11
"BORRELLI RC, 2004,","BORRELLI RC, 2004, J AGR FOOD CHEM, V52, P1338, DOI 10.1021/JF034974X","indegree",12
"FRANCA AS, 2009,","FRANCA AS, 2009, DESALINATION, V249, P267, DOI 10.1016/J.DESAL.2008.11.017","indegree",13
"CAETANO NS, 2012,","CAETANO N;SILVA V;MATA T, 2012, VALORIZATION OF COFFEE GROUNDS FOR BIODIESEL PRODUCTION, CISAP5: INTERNATIONAL CONFERENCE ON SAFETY & ENVIRONMENT IN PROCESS & POWER INDUSTRY, PT 1","indegree",14
"RAMALAKSHMI K, 2009,","RAMALAKSHMI K, 2009, FOOD CHEM, V115, P79, DOI 10.1016/J.FOODCHEM.2008.11.063","indegree",15
"MUSSATTO SI, 2012,","MUSSATTO SI, 2012, APPL ENERG, V92, P763, DOI 10.1016/J.APENERGY.2011.08.020","indegree",16
"SILVA MA, 1998,","SILVA MA, 1998, BIOMASS BIOENERG, V14, P457, DOI 10.1016/S0961-9534(97)10034-4","indegree",17
"PANUSA A, 2013,","PANUSA A, 2013, J AGR FOOD CHEM, V61, P4162, DOI 10.1021/JF4005719","indegree",18
"ANDRADE KS, 2012,","ANDRADE KS, 2012, TALANTA, V88, P544, DOI 10.1016/J.TALANTA.2011.11.031","indegree",19
"CRUZ R, 2012,","CRUZ R, 2012, J AGR FOOD CHEM, V60, P7777, DOI 10.1021/JF3018854","indegree",20
"ATABANI AE, 2019,","ATABANI A;SHOBANA S;MOHAMMED M;UGUZ G;KUMAR G;ARVINDNARAYAN S;ASLAM M;AL-MUHTASEB A, 2019, INTEGRATED VALORIZATION OF WASTE COOKING OIL AND SPENT COFFEE GROUNDS FOR BIODIESEL PRODUCTION BLENDING WITH HIGHER ALCOHOLS FTIR TGA DSC AND NMR CHARACTERIZATIONS, FUEL","outdegree",1
